                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94906,                  4.099,                0.63078,                 3.4995,                 1.2393,                0.49653,                0.77406,                0.54345,                0.43066,                0.49653,                0.77406,                0.54345,                0.50512,                  0.803,                 0.4087,                0.24349,                 1.3303,                 1.1767,              0.0033321,              0.0033321,              0.0033321
                      2,                0.87827,                 2.3748,                0.43404,                 2.1183,                 1.1634,                0.66872,                0.82694,                0.76257,                0.60543,                0.66389,                0.81417,                0.73397,                 0.5763,                0.78757,                0.82455,                0.10939,                0.85399,                  1.137,              0.0065334,              0.0065334,              0.0065334
                      3,                0.88921,                 2.2506,                0.34522,                 1.7248,                  1.161,                0.72762,                0.96818,                0.82296,                0.66588,                 0.7248,                0.96221,                0.81919,                0.79653,                0.74297,                0.26788,                0.08567,                0.72898,                 1.1123,              0.0096028,              0.0096028,              0.0096028
                      4,                0.87185,                 2.0658,                0.29864,                  1.357,                 1.1501,                0.75542,                0.97516,                 0.8642,                0.71621,                0.75542,                0.97516,                 0.8642,                0.84909,                0.68912,                0.20178,                0.03243,                0.62453,                  1.057,               0.009406,               0.009406,               0.009406
                      5,                0.80864,                 1.7279,                 0.2684,                 1.0577,                 1.1119,                0.88112,                0.95483,                0.94868,                0.81567,                0.88112,                0.95483,                0.94868,                 0.9389,                 0.6324,                0.15155,                0.01653,                0.46375,                 1.0001,               0.009406,               0.009406,               0.009406
                      6,                0.76324,                 1.5675,                0.25431,                0.89079,                 1.0907,                0.93589,                0.98185,                0.97838,                0.84268,                0.93589,                0.98185,                0.97838,                0.97058,                0.59108,                0.12667,                 0.0129,                0.37502,                0.97585,               0.009208,               0.009208,               0.009208
                      7,                0.73217,                 1.4997,                0.24124,                0.79374,                  1.075,                0.97577,                0.98471,                 0.9923,                0.86796,                0.97577,                0.98471,                 0.9923,                0.98589,                0.54625,                0.13085,                0.00875,                0.32198,                0.94965,                0.00901,                0.00901,                0.00901
                      8,                  0.699,                 1.4263,                0.21627,                0.71777,                 1.0575,                0.99186,                0.99631,                0.99426,                0.88189,                0.99186,                0.99631,                0.99426,                0.99114,                0.53122,                0.10444,                0.00812,                0.27479,                0.94134,               0.008812,               0.008812,               0.008812
                      9,                0.67852,                 1.3761,                 0.2023,                0.67047,                 1.0492,                0.98916,                0.99806,                0.99463,                0.88768,                0.98916,                0.99806,                 0.9945,                0.98982,                 0.5034,                 0.1078,                0.00648,                0.25967,                0.92694,               0.008614,               0.008614,               0.008614
                     10,                0.65503,                 1.3113,                0.19301,                0.62851,                 1.0385,                0.99544,                0.99842,                0.99467,                0.89657,                0.99544,                0.99842,                0.99467,                0.99312,                0.46387,                0.09094,                0.00556,                0.23465,                0.90114,               0.008416,               0.008416,               0.008416
                     11,                0.63722,                 1.2849,                0.18679,                0.60107,                 1.0313,                0.99742,                0.99833,                0.99477,                0.90461,                0.99742,                0.99833,                0.99477,                0.99322,                0.44174,                0.08713,                0.00524,                0.22035,                0.88873,               0.008218,               0.008218,               0.008218
                     12,                0.62278,                 1.2387,                0.17989,                0.57665,                 1.0238,                0.99676,                0.99904,                0.99484,                0.90889,                0.99676,                0.99904,                0.99484,                0.99396,                0.43199,                0.07873,                 0.0047,                0.21817,                0.87787,                0.00802,                0.00802,                0.00802
                     13,                0.61129,                 1.2118,                 0.1761,                0.55646,                 1.0193,                0.99654,                 0.9994,                0.99475,                 0.9222,                0.99654,                 0.9994,                0.99475,                0.99394,                0.40307,                0.07579,                0.00495,                0.20239,                0.86405,               0.007822,               0.007822,               0.007822
                     14,                0.59838,                 1.1922,                0.17301,                0.53948,                  1.014,                0.99558,                0.99961,                0.99484,                0.92585,                0.99558,                0.99961,                0.99484,                0.99419,                0.38657,                0.06984,                0.00376,                0.19737,                0.85369,               0.007624,               0.007624,               0.007624
                     15,                0.58507,                 1.1853,                0.16956,                0.52333,                  1.008,                0.99585,                0.99961,                0.99479,                0.92634,                0.99585,                0.99961,                0.99479,                0.99419,                0.37359,                0.06866,                0.00368,                0.19077,                 0.8444,               0.007426,               0.007426,               0.007426
                     16,                0.57347,                  1.138,                0.16556,                0.50924,                 1.0025,                0.99598,                0.99961,                0.99486,                0.93671,                0.99598,                0.99961,                0.99486,                0.99398,                0.35242,                0.06686,                0.00325,                0.18335,                0.83548,               0.007228,               0.007228,               0.007228
                     17,                0.55739,                 1.1275,                 0.1645,                 0.4949,                0.99545,                0.99668,                0.99961,                0.99486,                0.94259,                0.99668,                0.99961,                0.99486,                0.99431,                0.33978,                0.06423,                0.00298,                0.17985,                0.82748,                0.00703,                0.00703,                0.00703
